X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.578132356129402,34.045767266752065,143673799,,,Transportation,County Fueling Stations,,DPW,DPW Topanga,3800 S. Topanga Cyn  Blvd.,,Malibu,CA,M-TH 8:00AM To 5:00PM and F  8:00AM to 4:00PM,"Contact Name: Anthony Myers <br>
Contact Number: (626) 286-3173",,,"Gasoline, Diesel",,81375,,91780,http://egis3.lacounty.gov/lms/?p=81375,publish,34.0457673,-118.5781323,2016-07-07T16:10:37.000Z,,6386534.44367447,1839539.64304765
-118.248025206991485,34.056658754694404,143675317,,,Transportation,County Fueling Stations,,ISD,ISD HOA (Hall of Admin),140 N. Grand Ave,,Los Angeles,Ca,"Open 6:00 AM - 6:00 PM   M-F
","Contact Name: James Gilmartin<br>
Office Number: (323) 881-3919<br>
Contact Number: (323) 422-4876",,,"Gasoline 10,000 gallons, RFID",,76214,,90012,http://egis3.lacounty.gov/lms/?p=76214,publish,34.05665879,-118.24802515,2018-02-28T11:49:48.000Z,,6486544.53925756,1843092.30228089
-118.171513915867919,34.049850024241564,143675328,,,Transportation,County Fueling Stations,,ISD,ISD Eastern,1104 N. Eastern Ave,,Los Angeles,CA,"24 hours, 7 days a week","Contact Name: James Gilmartin<br>
Office Number: (323) 881-3919<br>
Contact Number: (323) 422-4876",,," Gasoline 40,000 gallons, Diesel 10,000 gallons, RFID",,76198,,90063,http://egis3.lacounty.gov/lms/?p=76198,publish,34.04985006,-118.17151386,2018-03-01T15:06:49.000Z,,6509715.23668247,1840566.11376373
-118.236858096127492,34.060571393769223,143675329,,,Transportation,County Fueling Stations,,ISD,ISD Alameda,1055 North Alameda ,,Los Angeles ,Ca,Open M - F  7:00am to 4:00pm,"Contact Name: James Gilmartin<br>
Office Number: (323) 881-3919<br>
Contact Number: (323) 422-4876",,,"Gasoline 20,000 gallons, RFID",,76212,,90012,http://egis3.lacounty.gov/lms/?p=76212,publish,34.06057143,-118.23685804,2018-03-01T15:08:39.000Z,,6489930.35958564,1844508.02517122
-118.419468955833366,33.899859567308759,143675335,,,Transportation,County Fueling Stations,,B & H,"B &amp; H Rosecrans Maint Ct",3621 The Strand,,Manhattan Beach,CA,M - F 5:00am-1:30pm,"Contact Name: Connie Silva <br>
Contact Number: 310 546-8500 ",,,"Diesel 1,000 gallons",,82549,,90266,http://egis3.lacounty.gov/lms/?p=82549,publish,33.8998596,-118.4194689,2018-03-05T11:45:49.000Z,,6434377.05336964,1786202.67721523
-118.390557841674621,33.828220854798879,143675336,,,Transportation,County Fueling Stations,,B & H,"B &amp; H Knob Hill",743 Esplanade ,,Redondo Beach,CA,Restricted to Beaches vehicles,"Contact Name: Chris Willis<br>
Contact Number: (310) 543-1967
",,,"Diesel 1,000 gallons",,76308,,90277,http://egis3.lacounty.gov/lms/?p=76308,publish,33.82822089,-118.39055779,2018-03-05T11:47:27.000Z,,6443049.1626658,1760096.42562206
-118.829960524682349,34.021537955740399,143675337,,,Transportation,County Fueling Stations,,B & H,"B &amp; H Zuma Beach",30050 Pacific Coast Hwy,,Malibu,CA,M-F 6:00 AM - 2:00 PM ,"Contact Name: Crystal Diaz<br>
Contact Number: (310) 457-2009",,,"Gasoline 1,000 gallons, Diesel 1,000 gallons",,76306,,90265,http://egis3.lacounty.gov/lms/?p=76306,publish,34.02153799,-118.82996047,2018-03-05T11:48:53.000Z,,6310175.81489597,1831256.74852423
-118.539273355985827,34.037063892588968,143675338,,,Transportation,County Fueling Stations,,B & H,"B &amp; H Will Roger Beach",16300 Pacific Coast Hwy,,Pacific Palisades,CA,M-F 6:00 AM - 2:00 PM ,"Contact Name: Angelica Carino<br>
Contact Number: (310) 454-7962",,,"Gasoline 1,000 gallons, Diesel 1,000 gallons",,76304,,90272,http://egis3.lacounty.gov/lms/?p=76304,publish,34.03706393,-118.5392733,2018-03-05T11:50:09.000Z,,6398289.0435248,1836306.92969681
-118.471167643008485,33.982648481766951,143675339,,,Transportation,County Fueling Stations,,B & H,"B &amp; H Venice Beach",2300 Ocean Front Walk ,,Venice ,CA,M-F 6:00AM - 2:00PM,"Contact Name: Mary Jimenez<br>
Contact Number: (310) 827-4873",,,"Gasoline 11,000 gallons, Diesel 11,000 gallons",,76302,,90291,http://egis3.lacounty.gov/lms/?p=76302,publish,33.98264851,-118.47116759,2018-03-05T11:51:09.000Z,,6418829.74949056,1816400.56596631
-118.391753521026359,33.847959698226852,143675340,,,Transportation,County Fueling Stations,,B & H,"B &amp; H Warehouse",516 N. Broadway,,Redondo Beach,CA,M-F 6:00AM - 2:00PM,"Contact Name: Angelo Porfilo<br>
Contact Number: (310) 379-2411",,,"Gasoline 20,000 gallons",,76300,,90277,http://egis3.lacounty.gov/lms/?p=76300,publish,33.84795973,-118.39175346,2018-03-05T11:52:41.000Z,,6442714.00618389,1767281.2570529
